,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
48,2018-03-21 19:03:04+00:00,-0.5994,0.163,0.837,BBC,0.0,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw",49
49,2018-03-21 17:03:04+00:00,0.4249,0.0,0.865,BBC,0.135,"??You really can't go wrong with a recipe from Mary Berry. 

???? Here are some of @BBCFood's favourites. ?… https://t.co/svyK73KV0o",50
50,2018-03-21 16:30:07+00:00,0.4939,0.0,0.868,BBC,0.132,"Is it too late to save the oceans from plastic? ?

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN",51
51,2018-03-21 16:29:54+00:00,0.4019,0.0,0.886,BBC,0.114,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…",52
52,2018-03-21 15:59:03+00:00,0.0,0.0,1.0,BBC,0.0,"Fictional locations such as Narnia, Gotham City and Neverland have mysteriously appeared on road signs in Oxfordshi… https://t.co/3NzQqfNNux",53
53,2018-03-21 14:03:03+00:00,-0.0516,0.054,0.946,BBC,0.0,"? Did you know that @DBtodomundo was asked to leave his school choir? 

? Here are 11 things we learned from the Ta… https://t.co/tusEZQgIbG",54
54,2018-03-21 13:30:02+00:00,0.0,0.0,1.0,BBC,0.0,What did students think when the BBC transported them to places they never thought possible? #ForReal… https://t.co/KFgZaE3PXi,55
55,2018-03-21 13:03:01+00:00,0.0,0.0,1.0,BBC,0.0,"Almost 1,000 sausage dogs have taken part in a dachshund dash! ?????

https://t.co/SMYaziJUrq",56
56,2018-03-21 12:33:01+00:00,0.1779,0.0,0.909,BBC,0.091,"Ruben is a star of @cbbc's #TheDumpingGround and has Down's Syndrome.

Growing up with a disability could have been… https://t.co/lNo1Pa2wTu",57
57,2018-03-21 11:46:05+00:00,0.8271,0.0,0.661,BBC,0.339,The annual Marmalade Festival held at the weekend is one of the UK's many festivals dedicated solely to a particula… https://t.co/I75Ufx17Gq,58
58,2018-03-21 11:03:01+00:00,0.0,0.0,1.0,BBC,0.0,"Spring has officially sprung! ?????

https://t.co/fAZSeVV8Oo",59
59,2018-03-21 10:03:03+00:00,0.4003,0.0,0.856,BBC,0.144,"""I've just had a haircut so I now look ninety-nine-and-a-half!"" ?????

A 100-year-old called Sadie has shared the s… https://t.co/X9QbWw0Ey0",60
60,2018-03-21 09:58:25+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBC_Teach: On #WorldPoetryDay let us know which your class’ favourite poem and/or poet?

Is it one of these? ?? https://t.co/qtn7IPXDFH…",61
61,2018-03-21 09:58:01+00:00,0.34,0.082,0.776,BBC,0.142,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/JMAWR0conA,62
62,2018-03-21 09:57:49+00:00,0.7845,0.0,0.566,BBC,0.434,RT @bbcthree: This Country winning their 3rd award ??? #RTSAwards https://t.co/oBdg1KruHK,63
63,2018-03-21 09:57:28+00:00,0.5994,0.0,0.837,BBC,0.163,"RT @bbcpress: Four new dramas announced for @BBCOne from writers Marnie Dickens (#Thirteen), Levi David Addai (#Damilola, Our Loved Boy), B…",64
64,2018-03-21 09:57:09+00:00,0.4574,0.0,0.885,BBC,0.115,RT @BBCOne: #EastEnders is back on Thursday with a special double bill at 7.30pm and 9pm on @BBCOne! And you know what that means… https://…,65
65,2018-03-21 09:33:01+00:00,0.7125,0.0,0.709,BBC,0.291,"??? @AlanCarr responds to those weather forecasters that LOVE a bit of drama. 
https://t.co/T9gpTdqDt3",66
66,2018-03-21 09:03:05+00:00,0.0,0.0,1.0,BBC,0.0,"??? Did you know that the head of a sunflower is built of up to 2000 flowers? 

?? https://t.co/aIWLu7AQES https://t.co/gNmcaG1ri5",67
67,2018-03-21 08:02:03+00:00,0.9336,0.0,0.438,BBC,0.562,"Wow! 19-year-old Justice Osei from Ghana has an amazing talent for imitating animals. ???????????
https://t.co/UZqeSyzsQB",68
68,2018-03-20 19:48:04+00:00,0.0,0.0,1.0,BBC,0.0,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? ?… https://t.co/jjMqUND883",69
69,2018-03-20 19:03:04+00:00,0.0,0.0,1.0,BBC,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. ??… https://t.co/4WG0esDk8m",70
70,2018-03-20 18:33:01+00:00,-0.3859,0.16,0.768,BBC,0.071,"Can you watch this without laughing? ?? You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",71
71,2018-03-20 17:33:03+00:00,0.34,0.102,0.738,BBC,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",72
72,2018-03-20 17:03:01+00:00,0.0,0.0,1.0,BBC,0.0,"Un-bee-lievable! ?? Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",73
73,2018-03-20 16:05:04+00:00,0.0,0.0,1.0,BBC,0.0,"Arise, Sir Ringo! ??@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",74
